arquivo,representacao,memoria_bytes,memoria_kb,vertices,arestas,densidade,tipo_grafo
../sample100-1980.gr,lista,33560,32.7734375,100,1980,0.2,esparso
../sample100-1980.gr,matriz,42944,41.9375,100,1980,0.2,esparso
../sample100-3960.gr,lista,49664,48.5,100,3960,0.4,esparso
../sample100-3960.gr,matriz,42048,41.0625,100,3960,0.4,esparso
../sample100-5940.gr,lista,98816,96.5,100,5940,0.6,denso
../sample100-5940.gr,matriz,42048,41.0625,100,5940,0.6,denso
../sample100-7920.gr,lista,98816,96.5,100,7920,0.8,denso
../sample100-7920.gr,matriz,42048,41.0625,100,7920,0.8,denso
../sample100-9900.gr,lista,197120,192.5,100,9900,1.0,denso
../sample100-9900.gr,matriz,42112,41.125,100,9900,1.0,denso
../sample200-7960.gr,lista,99216,96.890625,200,7960,0.2,esparso
../sample200-7960.gr,matriz,164048,160.203125,200,7960,0.2,esparso
../sample200-15920.gr,lista,197520,192.890625,200,15920,0.4,esparso
../sample200-15920.gr,matriz,164112,160.265625,200,15920,0.4,esparso
../sample200-23880.gr,lista,394128,384.890625,200,23880,0.6,denso
../sample200-23880.gr,matriz,164048,160.203125,200,23880,0.6,denso
../sample200-31840.gr,lista,394128,384.890625,200,31840,0.8,denso
../sample200-31840.gr,matriz,164048,160.203125,200,31840,0.8,denso
../sample200-39800.gr,lista,787432,768.9765625,200,39800,1.0,denso
../sample200-39800.gr,matriz,164048,160.203125,200,39800,1.0,denso
../sample500-49900.gr,lista,788544,770.0625,500,49900,0.2,esparso
../sample500-49900.gr,matriz,1010048,986.375,500,49900,0.2,esparso
../sample500-99800.gr,lista,1575624,1538.6953125,500,99800,0.4,esparso
../sample500-99800.gr,matriz,1010048,986.375,500,99800,0.4,esparso
../sample500-149700.gr,lista,6293520,6146.015625,500,149700,0.6,denso
../sample500-149700.gr,matriz,1010048,986.375,500,149700,0.6,denso
../sample500-199600.gr,lista,6293584,6146.078125,500,199600,0.8,denso
../sample500-199600.gr,matriz,1010048,986.375,500,199600,0.8,denso
../sample500-249500.gr,lista,6293520,6146.015625,500,249500,1.0,denso
../sample500-249500.gr,matriz,1010632,986.9453125,500,249500,1.0,denso
